site,utm_x,utm_y
F003-20,481063,4987647
F006-20,480943,4989279
F012-20,478896,4988372
F016-21,478920,4988815
F033-21,477448,4994177
F034-21,478153,4994150
F043-21,478135,4994097
F048-21,480580,4998646
F053-21,478288,4998991
F066-21,480551,4995177
F074-21,478519,4994147
F100-21,NA,NA
H066-21,484851,4949271
F010-22,480548,4994959
H010-22,492919,4955235
F011-22,480495,4995747
F006-22,478135,4994100
F023-22,480527,4989024
F030-22,480570,4995765
F042-22,478948,4989459
F078-22,480540,4987610
H200-22,483289,4992753
