skunk_id,date,site
01-20-F,4/18/2020,F006-20
02-20-M,4/19/2020,F003-20
NA,4/19/2020,F012-20
01-21-M,3/20/2021,F033-21
02-21-M,3/23/2021,F034-21
01-21-M,3/25/2021,F034-21
03-21-F,3/25/2021,F043-21
04-21-M,3/27/2021,F033-21
04-21-M,4/2/2021,F034-21
05-21-M,4/3/2021,F034-21
06-21-F,4/3/2021,F048-21
04-21-M,4/5/2021,F034-21
NA,4/5/2021,F048-21
07-21-M,4/6/2021,F033-21
08-21-M,4/6/2021,F053-21
04-21-M,4/9/2021,F043-21
09-21-M,4/9/2021,F033-21
04-21-M,4/10/2021,F033-21
08-21-M,4/10/2021,F043-21
10-21-M,4/10/2021,F034-21
04-21-M,4/11/2021,F043-21
05-21-M,4/11/2021,F034-21
11-21-M,4/11/2021,NA
12-21-M,4/12/2021,F033-21
13-21-M,4/13/2021,H066-21
NA,4/13/2021,F033-21
01-21-M,4/14/2021,F034-21
13-21-M,4/14/2021,H066-21
14-21-M,4/14/2021,F033-21
15-21-M,4/15/2021,F033-21
NA,4/18/2021,F034-21
12-21-M,4/20/2021,F034-21
12-21-M,4/21/2021,F074-21
16-21-M,4/21/2021,F034-21
07-21-M,4/23/2021,F033-21
16-21-M,4/23/2021,F066-21
07-21-M,4/24/2021,F074-21
11-21-M,4/25/2021,F034-21
15-21-M,4/25/2021,F066-21
09-21-M,4/26/2021,F066-21
15-21-M,4/27/2021,F066-21
16-21-M,4/28/2021,F034-21
03-21-F,4/29/2021,F033-21
16-21-M,4/29/2021,F043-21
09-21-M,4/30/2021,F066-21
NA,5/1/2021,F066-21
09-21-M,5/3/2021,F066-21
15-21-M,5/4/2021,F066-21
03-21-F,5/6/2021,F033-21
15-21-M,5/6/2021,F066-21
03-21-F,5/13/2021,F033-21
15-21-M,5/14/2021,F066-21
14-21-M,5/16/2021,F016-21
15-21-M,5/16/2021,F066-21
12-21-M,6/6/2021,F100-21
01-22-M,3/29/2022,F010-22
02-22-F,3/30/2022,H010-22
01-22-M,4/3/2022,F011-22
03-22-M,4/4/2022,H010-22
01-22-M,4/6/2022,F006-22
04-22-M,4/10/2022,F023-22
04-22-M,4/18/2022,F030-22
05-22-M,4/24/2022,F042-22
06-22-F,5/3/2022,F078-22
07-22-F,5/25/2022,H200-22
